energy_label,pitch_deg,method,errE_mean,errE_max,errMu_mean,errMu_max,errPphi_mean,errPphi_max,runtime_s
50 keV,90,RK45,0.389,0.81,0.81,0.81,1.93e-08,1.94e-08,179.05
50 keV,90,RK4,0.0536,0.105,0.106,0.106,1.23e-09,1.24e-09,6.96
50 keV,90,PS,8.16e-13,1.62e-12,0.000291,0.000582,6.52e-14,6.58e-14,19.67
50 keV,60,RK45,0.452,0.916,0.954,0.954,1.45e-08,1.46e-08,211.71
50 keV,60,RK4,0.137,0.265,0.285,0.285,2.03e-09,2.05e-09,7.2
50 keV,60,PS,9.19e-13,2.06e-12,0.00042,0.000705,6.81e-14,6.86e-14,27.1
1 MeV,90,RK45,0.608,1.0,1.0,1.0,7.54e-07,7.54e-07,130.37
1 MeV,90,RK4,0.0541,0.106,0.108,0.109,4.68e-08,4.7e-08,6.73
1 MeV,90,PS,5.25e-12,8.69e-12,0.00178,0.00356,2.78e-13,2.79e-13,20.04
1 MeV,60,RK45,,,,,,,
1 MeV,60,RK4,0.138,0.268,0.289,0.291,7.74e-08,7.77e-08,7.15
1 MeV,60,PS,1.23e-12,2.04e-12,0.00258,0.004,5.71e-14,5.76e-14,27.25
100 MeV,90,RK45,0.0262,0.0521,0.149,0.247,9.94e-05,9.99e-05,358.54
100 MeV,90,RK4,0.115,0.219,0.301,0.374,0.000404,0.000405,6.74
100 MeV,90,PS,4.21e-12,8.76e-12,0.102,0.209,4.03e-13,4.03e-13,22.88
100 MeV,60,RK45,0.0277,0.0551,0.215,0.356,7.12e-05,7.16e-05,418.5
100 MeV,60,RK4,0.332,0.608,0.7,0.738,0.000638,0.000641,6.72
100 MeV,60,PS,5.12e-12,1.02e-11,0.16,0.314,1.26e-13,1.26e-13,31.04
150 MeV,90,RK45,0.0192,0.0383,0.173,0.312,0.000152,0.000153,400.59
150 MeV,90,RK4,0.167,0.311,0.411,0.495,0.00117,0.00117,6.99
150 MeV,90,PS,5.39e-14,1.57e-13,0.139,0.287,2.91e-13,2.91e-13,23.61
150 MeV,60,RK45,0.0205,0.0408,0.268,0.468,0.000105,0.000106,475.01
150 MeV,60,RK4,0.533,0.902,0.942,0.948,0.00165,0.00165,6.91
150 MeV,60,PS,2.13e-12,4.29e-12,0.229,0.445,3.79e-14,3.83e-14,31.62
